Indnum,Activity,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
21,shower - long (> 3 min),38,79,,,,,,,,,,
21,bath,,16,,,,,,,,,,
21,wash-up,35,39,,,,,,,,,,
21,use of dishwasher,,25,,,,,,,,,,
21,use of clothes washer,8,34,,,,,,,,,,
21,use of clothes dryer,4,14,,,,,,,,,,
21,use of cooking range,,,,1,,,,,,,,
21,use of  oven,10,40,,,,,,,,,,
21,use of self-clean feature of electric oven,4,14,,,,,,,,,,
21,Small kitchen appliance in the home,,,,,,,,,,,,
21,TV/computer use,62,21,,,,,,,,,,
21,air travel - large plane,3515,45,,,,,,,,,,
21,air travel - small  plane (<50 seats),,,,,,,,,,,,1
21,car trips- self only,315,51,,,,,1,,,,,
21,car trips - driver and self,25,31,,,,,1,,,,,
21,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
21,trips using public ground transportation,16,62,,,,,,,,,,
21,bags of garbage disposed,20,44,,,,,,,,,,
21,bags of recycling deposited (negative CF),,,,,,,,,,,,
21,bags of compost deposited (negative CF),,,,,,,,,,,,
21,hazardous or electric items disposed,,,,,,,,,,,,
21,large items disposed,,12,,,,,,,,,,
22,Household heating => 70F,5,90,,,,,,1,,,,
22,Household heating < 70F,8,65,1,,,1,,1,,,,
22,Use of heat pump,,53,,,,,,,,,,
22,Use of air conditioner,23,41,,,,1,,,,,,
22,shower - short,4,91,,,,,,,,,,
22,shower - long (> 3 min),13,88,,,,,,,,,,
22,bath,,9,,,,,,,,,,
22,wash-up,34,34,,,,,,,,,,
22,use of dishwasher,,24,,,,,,,,,,
22,use of clothes washer,5,41,,,,,1,,,,,
22,use of clothes dryer,2,12,,,,,,,,,1,
22,use of cooking range,,,,,,,,,,,1,
22,use of  oven,11,40,,,,,,,,,1,
22,use of self-clean feature of electric oven,4,19,,,,,,,1,,,
22,Small kitchen appliance in the home,,,,,,,,,,,,
22,TV/computer use,63,28,,,,,,,,,,
22,air travel - large plane,3300,43,,,,,,,,,,
22,air travel - small  plane (<50 seats),,,,,,,,,,,,
22,car trips- self only,404,46,,,,,1,,,,,
22,car trips - driver and self,32,32,,,,,1,,,,,
22,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
22,trips using public ground transportation,16,58,,,,,,,,,,
22,bags of garbage disposed,18,46,,,,,,,,,,
22,bags of recycling deposited (negative CF),,,,,,,,,,,,
22,bags of compost deposited (negative CF),8,18,,,,,,,,,,
22,hazardous or electric items disposed,,,,,,,,,,,,
22,large items disposed,2,20,,,,,,,,,,
23,Household heating => 70F,3,79,,,,,,1,,,,
23,Household heating < 70F,5,79,,,,,,1,,,,
23,Use of heat pump,,40,,1,,,,,,,,
23,Use of air conditioner,19,57,,,,,,,,,,
23,shower - short,4,83,,1,,,,,,,,
23,shower - long (> 3 min),12,80,,,1,,1,,,,,
23,bath,,12,,,,,,,,,,
23,wash-up,42,34,,,,,,,,,,
23,use of dishwasher,,21,,,,,,,,,,
23,use of clothes washer,6,37,,,,,,,,,,
23,use of clothes dryer,3,13,,,,,,,,,,
23,use of cooking range,,,,,,,,,,,,
23,use of  oven,10,41,,1,,,1,,,,,
23,use of self-clean feature of electric oven,3,13,,,,,,,1,,,
23,Small kitchen appliance in the home,,,,,,,,,,,,
23,TV/computer use,58,27,,,,,,,,,,
23,air travel - large plane,2351,44,,,,,,,,,,
23,air travel - small  plane (<50 seats),,,,,,,,,,,,
23,car trips- self only,319,42,,,,,1,,,,,
23,car trips - driver and self,18,40,,,,,1,,,,,
23,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
23,trips using public ground transportation,17,53,,,,,,,,,,
23,bags of garbage disposed,21,43,,,,,,,,,,
23,bags of recycling deposited (negative CF),,,,,,,,,,,,
23,bags of compost deposited (negative CF),8,18,,,,,,,,,,
23,hazardous or electric items disposed,,,,,,,,,,,,
23,large items disposed,1,12,,,,,,,,,,
24,Household heating => 70F,3,77,,,,,,1,,1,,
24,Household heating < 70F,1,61,,,,,,1,,,,
24,Use of heat pump,,50,,,,,,,,,,
24,Use of air conditioner,31,52,,,,,,,,,,
24,shower - short,5,92,,,,1,,,,,,
24,shower - long (> 3 min),38,77,,,,,,,,,,
24,bath,,15,,,,,,,,,,
24,wash-up,51,24,,1,,,,,,,,
24,use of dishwasher,12,22,,,,,,,,,,
24,use of clothes washer,6,42,,,,,,,,,,
24,use of clothes dryer,3,20,,,,,,,,,1,
24,use of cooking range,,,,,,,,,,,1,
24,use of  oven,10,39,,,,,,,,,1,
24,use of self-clean feature of electric oven,4,14,,,,,,,,,,
24,Small kitchen appliance in the home,,,,,,,,,,,,
24,TV/computer use,60,30,,,,,,,,,,
24,air travel - large plane,3779,51,,,,,,,,,,1
24,air travel - small  plane (<50 seats),,,,,,,,,,,,
24,car trips- self only,437,55,,,,,1,,,,,
24,car trips - driver and self,22,24,,,,,1,,,,,
24,car trips - 2+ people with multiple end points,12,,,,,,1,,,,,
24,trips using public ground transportation,17,53,,,,,,,,,,
24,bags of garbage disposed,23,43,,,,,,,,,,
24,bags of recycling deposited (negative CF),,,,,,,,,,,,
24,bags of compost deposited (negative CF),,,,,,,,,,,,
24,hazardous or electric items disposed,,,,,,,,,,,,
24,large items disposed,1,16,,,,,,,,,,
25,Household heating => 70F,2,66,,,,,,1,,,,
25,Household heating < 70F,9,80,,,,,,1,,,,
25,Use of heat pump,,52,,,,,,,,,,
25,Use of air conditioner,28,49,,,,,,,,,,
25,shower - short,5,96,,,1,,,,,,,
25,shower - long (> 3 min),26,73,,,,,,,,,,
25,bath,,18,,,,,,,,,,
25,wash-up,50,39,,,,,,,,,,
25,use of dishwasher,,23,,1,,,,,,,,
25,use of clothes washer,5,35,,,,,,,,,,
25,use of clothes dryer,4,12,,,,,,,,,,
25,use of cooking range,,,,,,,,,,,,
25,use of  oven,11,32,,,,,,,,,,
25,use of self-clean feature of electric oven,3,15,,,,,,,,,,
25,Small kitchen appliance in the home,,,,,,,,,,,,
25,TV/computer use,61,30,,,,,,,,,,
25,air travel - large plane,2060,50,,,,,,,,,,
25,air travel - small  plane (<50 seats),,,,,,,,,,,,
25,car trips- self only,266,59,,,,,1,,,,,
25,car trips - driver and self,16,33,,,,,1,,,,,
25,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
25,trips using public ground transportation,14,55,,,,,,,,,,
25,bags of garbage disposed,22,46,,,,,,,,,,
25,bags of recycling deposited (negative CF),,,,,,,,,,,,
25,bags of compost deposited (negative CF),,,,,,,,,,,,
25,hazardous or electric items disposed,,,,,,,,,,,,
25,large items disposed,2,17,,,,,,,,,,
26,Household heating => 70F,4,80,,,,,,1,,,,
26,Household heating < 70F,8,81,,,,,,1,,,,
26,Use of heat pump,,49,,,,,,,,,,
26,Use of air conditioner,24,56,,,,,,,,1,,
26,shower - short,3,86,,,,,,,,,,
26,shower - long (> 3 min),22,84,,,,,,,,,,
26,bath,,12,,,,,,,,,,
26,wash-up,42,27,,,,,,,,,,
26,use of dishwasher,,21,,,,1,,,,,,
26,use of clothes washer,7,32,,,,1,,,,,,
26,use of clothes dryer,2,16,,,,,,,,,1,
26,use of cooking range,,,,,,,,,,,1,
26,use of  oven,11,40,,,,,,,,,1,
26,use of self-clean feature of electric oven,1,17,,,,,,,,,,
26,Small kitchen appliance in the home,,,,,,,,,,,,
26,TV/computer use,60,31,,,,,,,,,,
26,air travel - large plane,2221,51,,,,,,,,,,
26,air travel - small  plane (<50 seats),,,,,,,,,,,,
26,car trips- self only,449,56,,,,,1,,,,,
26,car trips - driver and self,33,25,,,,,1,,,,,
26,car trips - 2+ people with multiple end points,14,,,,,,1,,,,,
26,trips using public ground transportation,19,48,,,,,,,,,,
26,bags of garbage disposed,17,51,,,,,,,,,,
26,bags of recycling deposited (negative CF),,,,,,,,,,,,
26,bags of compost deposited (negative CF),,,,,,,,,,,,
26,hazardous or electric items disposed,,,,,,,,,,,,
26,large items disposed,,16,,,,,,,,,,
27,Household heating => 70F,6,85,1,1,,,,1,,,,
27,Household heating < 70F,3,61,,1,,,,1,,,,
27,Use of heat pump,,48,,,,,,,,,,
27,Use of air conditioner,16,46,,,1,,,,,,,
27,shower - short,3,91,,1,,,,,,,,
27,shower - long (> 3 min),25,72,,,1,,,,1,,,
27,bath,,10,,1,,,,,,,,
27,wash-up,33,38,,,,,,,,,,
27,use of dishwasher,,21,,,,,,,,,,
27,use of clothes washer,2,31,,,,,,,,,,
27,use of clothes dryer,1,11,,,,,,,,,,
27,use of cooking range,,,,,,,,,,,,
27,use of  oven,12,32,1,,,,,,,,,
27,use of self-clean feature of electric oven,2,18,,,,,,,,,,
27,Small kitchen appliance in the home,,,,,,1,,,,,,
27,TV/computer use,59,27,,,,,,,,,,
27,air travel - large plane,2693,43,,,,,,,,,,
27,air travel - small  plane (<50 seats),626,31,,,,,,,,,,
27,car trips- self only,438,58,,,,,1,,,,,
27,car trips - driver and self,22,19,,,,,1,,,,,
27,car trips - 2+ people with multiple end points,30,,,,,,1,,,,,
27,trips using public ground transportation,17,46,,,,,,,,,,
27,bags of garbage disposed,17,46,,,,,,,,,,
27,bags of recycling deposited (negative CF),,,,,,,,,,,,
27,bags of compost deposited (negative CF),8,18,,,,,,,,,,
27,hazardous or electric items disposed,,,,,,,,,,,,
27,large items disposed,,15,,,,,,,,,,
28,Household heating => 70F,4,75,,,,,,1,,,,
28,Household heating < 70F,9,64,,1,,,,1,,,,
28,Use of heat pump,,48,,,,1,,,,,,
28,Use of air conditioner,16,38,,1,,,,,,,,
28,shower - short,7,85,,,,,,,,,,
28,shower - long (> 3 min),12,72,,,,,,,1,,,
28,bath,5,14,,,1,,,,,,,
28,wash-up,36,29,1,,1,,,,,,,
28,use of dishwasher,,24,,1,,1,,,,,,
28,use of clothes washer,8,35,,,,,,,,,,
28,use of clothes dryer,3,11,,,,,,,,,1,
28,use of cooking range,,,,,,,,,,,1,
28,use of  oven,12,37,,,,,,,,,1,
28,use of self-clean feature of electric oven,1,18,,,,,,,,,,
28,Small kitchen appliance in the home,,,,,,,,,,,,
28,TV/computer use,61,25,,,,,,,,,,
28,air travel - large plane,3820,49,,,,,,,,,,
28,air travel - small  plane (<50 seats),,,,,,,,,,,,
28,car trips- self only,321,53,,,,,1,,,,,
28,car trips - driver and self,24,24,,,,,1,,,,,
28,car trips - 2+ people with multiple end points,24,,,,,,1,,,,,
28,trips using public ground transportation,18,55,,,,,,,,,,
28,bags of garbage disposed,25,51,,,,,,,,,,
28,bags of recycling deposited (negative CF),,,,,,,,,,,,
28,bags of compost deposited (negative CF),2,4,,,,,,,,,,
28,hazardous or electric items disposed,,,,,,,,,,,,
28,large items disposed,2,17,,,,,,,,,,
29,Household heating => 70F,4,91,,,,1,,1,,,,
29,Household heating < 70F,8,62,,,1,,,1,,,,
29,Use of heat pump,,48,,,,,,,,,,
29,Use of air conditioner,22,46,,,,,,,,,,
29,shower - short,4,91,,,,,,,,,,
29,shower - long (> 3 min),34,82,,,,,,,,,,
29,bath,4,11,,,,,,,,,,
29,wash-up,35,26,,,,,,,,,,
29,use of dishwasher,,22,,,,,,,,,,
29,use of clothes washer,2,47,,,,,,,,,,
29,use of clothes dryer,2,19,,,,,,,,,,
29,use of cooking range,,,,,,,,,,,,
29,use of  oven,11,33,,,,,,,,,,
29,use of self-clean feature of electric oven,1,15,,,1,,,,,,,
29,Small kitchen appliance in the home,,,,,,,,,,,,
29,TV/computer use,61,29,,,,,,,,,,
29,air travel - large plane,2291,47,,,,,,,,,,
29,air travel - small  plane (<50 seats),,,,,,,,,,,,
29,car trips- self only,276,60,,,,,1,,,,,
29,car trips - driver and self,40,35,,,,,1,,,,,
29,car trips - 2+ people with multiple end points,30,,,,,,1,,,,,
29,trips using public ground transportation,19,59,,,,,,,,,,
29,bags of garbage disposed,19,50,,,,,,,,,,
29,bags of recycling deposited (negative CF),,,,,,,,,,,,
29,bags of compost deposited (negative CF),,,,,,,,,,,,
29,hazardous or electric items disposed,,,,,,,,,,,,
29,large items disposed,2,13,,,,,,,,,,
30,Household heating => 70F,5,88,,1,1,1,,1,,,,
30,Household heating < 70F,4,72,,1,,,,1,,,,
30,Use of heat pump,,43,,,,,,,,,,
30,Use of air conditioner,19,41,,,,,,,,,,
30,shower - short,2,96,,,,,,,,,,
30,shower - long (> 3 min),10,88,,,,,,,,,,
30,bath,,21,,,,,,,,,,
30,wash-up,50,41,,,1,,,,,,,
30,use of dishwasher,,22,,,,,,,,,,
30,use of clothes washer,6,29,1,,,,,,,,,
30,use of clothes dryer,1,14,,,,,,,,,1,
30,use of cooking range,,,,,,,,,,,1,
30,use of  oven,12,31,,,,,,,,,1,
30,use of self-clean feature of electric oven,2,21,,,1,,,,,,,
30,Small kitchen appliance in the home,,,,,,,,,,,,
30,TV/computer use,58,27,,,,,,,,,,
30,air travel - large plane,2738,51,,,,,,,,,,1
30,air travel - small  plane (<50 seats),,,,,,,,,,,,1
30,car trips- self only,299,53,,,,,1,,,,,
30,car trips - driver and self,33,23,,,,,1,,,,,
30,car trips - 2+ people with multiple end points,11,,,,,,1,,,,,
30,trips using public ground transportation,13,57,,,,,,,,,,
30,bags of garbage disposed,18,45,,,,,,,,,,
30,bags of recycling deposited (negative CF),,,,,,,,,,,,
30,bags of compost deposited (negative CF),,,,,,,,,,,,
30,hazardous or electric items disposed,,,,,,,,,,,,
30,large items disposed,1,14,,,,,,,,,,
31,Household heating => 70F,2,60,,,,,,1,,,,
31,Household heating < 70F,3,84,,,,,,1,,,,
31,Use of heat pump,,53,1,,,,,,,,,
31,Use of air conditioner,25,49,,,,,,,,1,,
31,shower - short,6,88,,,,,,,,,,
31,shower - long (> 3 min),10,81,,,,,,,,,,
31,bath,,21,,,,,,,,,,
31,wash-up,39,25,,,,,,,,,,
31,use of dishwasher,,22,,,,,,,,,,
31,use of clothes washer,3,35,,,,,,,,,,
31,use of clothes dryer,3,21,,,,,,,,,,
31,use of cooking range,,,,,,,,,,,,
31,use of  oven,11,34,,,,,,,,,,
31,use of self-clean feature of electric oven,4,13,,,,,,,,,,
31,Small kitchen appliance in the home,,,,,,,,,,,,
31,TV/computer use,60,23,,,,,,,,,,
31,air travel - large plane,3105,49,,,,,,,,,,
31,air travel - small  plane (<50 seats),,,,,,,,,,,,1
31,car trips- self only,455,49,,,,,1,,,,,
31,car trips - driver and self,27,32,,,,,1,,,,,
31,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
31,trips using public ground transportation,13,55,,,,,,,,,,
31,bags of garbage disposed,20,47,,,,,,,,,,
31,bags of recycling deposited (negative CF),,,,,,,,,,,,
31,bags of compost deposited (negative CF),,,,,,,,,,,,
31,hazardous or electric items disposed,,,,,,,,,,,,
31,large items disposed,2,16,,,,,,,,,,
32,Household heating => 70F,7,70,,,,,,1,,,,
32,Household heating < 70F,8,91,,,,,,1,,,,
32,Use of heat pump,,42,,,,,,,,,,
32,Use of air conditioner,27,53,,,,,,,,,,
32,shower - short,2,97,,,,,,,,,,
32,shower - long (> 3 min),31,73,1,,,,,,,,,
32,bath,,13,,,,,,,,,,
32,wash-up,44,35,,,,,,,,,,
32,use of dishwasher,,25,,,,,,,,,,
32,use of clothes washer,8,32,,,,,,,,,,
32,use of clothes dryer,4,17,,,,,,,,,1,
32,use of cooking range,,,,,,,,,,,1,
32,use of  oven,8,31,,,,,,,,,1,
32,use of self-clean feature of electric oven,4,16,,,,,,,,,,
32,Small kitchen appliance in the home,,,,,,,,,,,,
32,TV/computer use,58,24,,,,,,,,,,
32,air travel - large plane,3623,49,,,,,,,,,,
32,air travel - small  plane (<50 seats),470,23,,,,,,,,,,
32,car trips- self only,282,61,,,,,1,,,,,
32,car trips - driver and self,40,19,,,,,1,,,,,
32,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
32,trips using public ground transportation,12,56,,,,,,,,,,
32,bags of garbage disposed,26,51,,,,,,,,,,
32,bags of recycling deposited (negative CF),,,,,,,,,,,,
32,bags of compost deposited (negative CF),,,,,,,,,,,,
32,hazardous or electric items disposed,,,,,,,,,,,,
32,large items disposed,,15,,,,,,,,,,
33,Household heating => 70F,8,79,,,,,,1,,,,
33,Household heating < 70F,10,84,,,,,,1,,,,
33,Use of heat pump,,49,1,,,,,,,,,
33,Use of air conditioner,29,41,,,1,,,,,,,
33,shower - short,3,83,,,,,1,,,,,
33,shower - long (> 3 min),38,77,,,,,,,,,,
33,bath,,17,,,,1,,,,,,
33,wash-up,41,28,,,,,,,,,,
33,use of dishwasher,,25,,,,,,,,,,
33,use of clothes washer,2,29,,,,,,,,,,
33,use of clothes dryer,3,11,,,,,,,,,,
33,use of cooking range,,,,,,,,,,,,
33,use of  oven,9,36,,,,,,,,,,
33,use of self-clean feature of electric oven,2,17,,1,,,,,,,,
33,Small kitchen appliance in the home,,,1,,,,,,,,,
33,TV/computer use,58,27,1,,,,,,,,,
33,air travel - large plane,3246,47,,,,,,,,,,
33,air travel - small  plane (<50 seats),,,,,,,,,,,,
33,car trips- self only,370,61,,,,,1,,,,,
33,car trips - driver and self,31,38,,,,,1,,,,,
33,car trips - 2+ people with multiple end points,13,,,,,,1,,,,,
33,trips using public ground transportation,15,53,,,,,,,,,,
33,bags of garbage disposed,21,50,,,,,,,,,,
33,bags of recycling deposited (negative CF),,,,,,,,,,,,
33,bags of compost deposited (negative CF),6,13,,,,,,,,,,
33,hazardous or electric items disposed,,,,,,,,,,,,
33,large items disposed,2,18,,,,,,,,,,
34,Household heating => 70F,10,87,,,,,,1,,,,
34,Household heating < 70F,6,77,,,,,,1,,1,,
34,Use of heat pump,,41,,,,,,,,,,
34,Use of air conditioner,28,55,,,,,,,,,,
34,shower - short,4,92,,,,,,,,,,
34,shower - long (> 3 min),22,72,,,,1,,,,,,
34,bath,,11,,,,,,,,,,
34,wash-up,34,43,,,,,,,,,,
34,use of dishwasher,,19,,,,,,,,,,
34,use of clothes washer,8,32,,,,,,,,,,
34,use of clothes dryer,2,16,,,,,,,,,1,
34,use of cooking range,,,,,,,,,,,1,
34,use of  oven,11,31,,,,,,,,,1,
34,use of self-clean feature of electric oven,1,12,,,,,,,,,,
34,Small kitchen appliance in the home,,,,,,,,,,,,
34,TV/computer use,58,30,,,,,,,,,,
34,air travel - large plane,3364,42,,,,,,,,,,
34,air travel - small  plane (<50 seats),,,,,,,,,,,,
34,car trips- self only,438,56,,,,,1,,,,,
34,car trips - driver and self,32,28,,,,,1,,,,,
34,car trips - 2+ people with multiple end points,28,,,,,,1,,,,,
34,trips using public ground transportation,18,52,,,,,,,,,,
34,bags of garbage disposed,23,50,,,,,,,,,,
34,bags of recycling deposited (negative CF),,,,,,,,,,,,
34,bags of compost deposited (negative CF),,,,,,,,,,,,
34,hazardous or electric items disposed,,,,,,,,,,,,
34,large items disposed,1,19,,,,,,,,,,
35,Household heating => 70F,5,93,,,1,,,1,,,,
35,Household heating < 70F,6,65,,,,1,,1,,,,
35,Use of heat pump,,53,,,,,,,,,,
35,Use of air conditioner,23,45,,,1,,,,,,,
35,shower - short,6,92,,1,,,,,,,,
35,shower - long (> 3 min),11,75,1,,,,,,,,,
35,bath,,15,,,,,,,,,,
35,wash-up,43,41,,,1,,,,,,,
35,use of dishwasher,,24,,,,,,,,,,
35,use of clothes washer,3,29,,,1,,,,,,,
35,use of clothes dryer,3,21,,,,,,,,,,
35,use of cooking range,7,,,,,,,,,,,
35,use of  oven,11,39,,,,,,,,,,
35,use of self-clean feature of electric oven,3,18,,,,,,,,,,
35,Small kitchen appliance in the home,54,,1,,,,,,,,,
35,TV/computer use,62,26,,,,,,,,,,
35,air travel - large plane,2067,42,,,,,,,,,,
35,air travel - small  plane (<50 seats),,,,,,,,,,,,
35,car trips- self only,442,49,,,,,1,,,,,
35,car trips - driver and self,31,27,,,,,1,,,,,
35,car trips - 2+ people with multiple end points,29,,,,,,1,,,,,
35,trips using public ground transportation,13,58,,,,,,,,,,
35,bags of garbage disposed,20,43,,,,,,,,,,
35,bags of recycling deposited (negative CF),,,,,,,,,,,,
35,bags of compost deposited (negative CF),,,,,,,,,,,,
35,hazardous or electric items disposed,,,,,,,,,,,,
35,large items disposed,,15,,,,,,,,,,
36,Household heating => 70F,1,81,,,1,,,1,,,,
36,Household heating < 70F,8,65,,,,,,1,,,,
36,Use of heat pump,,51,,,,,,,,,,
36,Use of air conditioner,29,49,,,,,,,,,,
36,shower - short,2,90,,,,,,,,,,
36,shower - long (> 3 min),39,92,,,,,,,,,,
36,bath,2,12,,1,,,,,,,,
36,wash-up,36,24,,,,,,,,,,
36,use of dishwasher,,25,,,,,,,,,,
36,use of clothes washer,6,48,,,,,,,,,,
36,use of clothes dryer,3,15,,1,,,,,,,1,
36,use of cooking range,,,,,,,,,,,1,
36,use of  oven,8,32,,,,1,,,,,1,
36,use of self-clean feature of electric oven,2,20,,,,,,,,,,
36,Small kitchen appliance in the home,52,,,,,,,,,,,
36,TV/computer use,61,21,1,,,,,,,,,
36,air travel - large plane,2024,43,,,,,,,,,,1
36,air travel - small  plane (<50 seats),,,,,,,,,,,,
36,car trips- self only,271,61,,,,,1,,,,,
36,car trips - driver and self,40,24,,,,,1,,,,,
36,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
36,trips using public ground transportation,13,58,,,,,,,,,,
36,bags of garbage disposed,22,42,,,,,,,,,,
36,bags of recycling deposited (negative CF),,,,,,,,,,,,
36,bags of compost deposited (negative CF),,,,,,,,,,,,
36,hazardous or electric items disposed,,,,,,,,,,,,
36,large items disposed,,16,,,,,,,,,,
37,Household heating => 70F,8,65,,,,,,1,,,,
37,Household heating < 70F,2,81,,,,,,1,,,,
37,Use of heat pump,,47,,,,,,,,,,
37,Use of air conditioner,13,42,,,,,,,,,,
37,shower - short,7,94,,,,,,,,,,
37,shower - long (> 3 min),37,77,,,,1,,,,,,
37,bath,,14,,,,,,,,,,
37,wash-up,51,34,,,,,,,,,,
37,use of dishwasher,,25,,,,,,,,,,
37,use of clothes washer,8,46,,,,,,,,,,
37,use of clothes dryer,2,14,,,,,,,,,,
37,use of cooking range,,,,,,,,,,,,
37,use of  oven,9,33,,,,,,,,,,
37,use of self-clean feature of electric oven,2,20,,,,,,,,,,
37,Small kitchen appliance in the home,,,,,,,,,1,,,
37,TV/computer use,64,29,,,,,,,,,,
37,air travel - large plane,3617,41,,,,,,,,,,
37,air travel - small  plane (<50 seats),,,,,,,,,,,,
37,car trips- self only,264,61,,,,,1,,,,,
37,car trips - driver and self,10,37,,,,,1,,,,,
37,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
37,trips using public ground transportation,16,58,,,,,,,,,,
37,bags of garbage disposed,28,50,,,,,,,,,,
37,bags of recycling deposited (negative CF),,,,,,,,,,,,
37,bags of compost deposited (negative CF),7,15,,,,,,,,,,
37,hazardous or electric items disposed,3,,,,,,,,,,,
37,large items disposed,2,13,,,,,,,,,,
38,Household heating => 70F,6,61,,,,,,1,,,,
38,Household heating < 70F,7,70,,,,,,1,,,,
38,Use of heat pump,,50,,,,,,,,,,
38,Use of air conditioner,25,48,,,,,,,,,,
38,shower - short,5,87,,,,,,,,,,
38,shower - long (> 3 min),19,73,,,,,,,,,,
38,bath,,12,,,,,,,,,,
38,wash-up,55,33,,,,,,,,,,
38,use of dishwasher,,21,,,,,,,,,,
38,use of clothes washer,2,27,1,1,,,,,,,,
38,use of clothes dryer,1,13,,,,,,,,,1,
38,use of cooking range,,,,,,,,,,,1,
38,use of  oven,12,39,,,,,,,,,1,
38,use of self-clean feature of electric oven,3,18,,,,,,,,,,
38,Small kitchen appliance in the home,,,,,,,,,,,,
38,TV/computer use,63,23,,,,,,,,,,
38,air travel - large plane,3355,51,,,,,,,,,,1
38,air travel - small  plane (<50 seats),,,,,,,,,,,,
38,car trips- self only,439,43,,,,,1,,,,,
38,car trips - driver and self,12,40,,,,,1,,,,,
38,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
38,trips using public ground transportation,18,56,,,,,,,,,,
38,bags of garbage disposed,19,45,,,,,,,,,,
38,bags of recycling deposited (negative CF),,,,,,,,,,,,
38,bags of compost deposited (negative CF),,,,,,,,,,,,
38,hazardous or electric items disposed,,,,,,,,,,,,
38,large items disposed,1,17,,,,,,,,,,
